;Distance;;;;;Evaluation;;;;Complexity;;;;DIST_E;DIST_H;T_common;T_different;sim_E;sim_H;sim_R;DIST_E2;DIST_H2;sim_E2;sim_H2;sim_R2;SIGMA;SIGMA_N5;SIGMA_N4;
Interface;Orientation;Order;Density;Dbasic;Dlayout;Difficulty;Like;Similar;;;;;;DIST_E;DIST_H;T_common;T_different;sim_E;sim_H;sim_R;DIST_E2;DIST_H2;sim_E2;sim_H2;sim_R2;SIGMA;SIGMA_N5;SIGMA_N4;
A0;0,125;0,000;0,083;0,069;0,100;1,714;3,429;4,000;;2,730;14;;;0,150231303;0,208;12;2;0,849768697;0,849768697;0,857142857;0,091228689;0,100083333;0,908771311;0,899916667;0,899916667;4,000;0,8;0,933333333;
A1;0,625;0,167;0,417;0,403;0,527;2,000;2,571;2,857;;2,730;14;;;0,769424388;1,208;6;8;0,230575612;0,230575612;0,428571429;0,456941835;0,527416667;0,543058165;0,472583333;0,472583333;2,857;0,571428571;0,666666667;
A2;0,000;0,167;0,250;0,139;0,055;2,000;3,571;4,286;;2,730;14;;;0,300462606;0,417;11;3;0,699537394;0,699537394;0,785714286;0,038897301;0,055;0,961102699;0,945;0,945;4,286;0,857142857;1;
A3;0,125;0,000;0,167;0,097;0,109;1,571;2,571;3,714;;2,730;14;;;0,208333333;0,292;11;3;0,791666667;0,791666667;0,785714286;0,092649916;0,109416667;0,907350084;0,890583333;0,890583333;3,714;0,742857143;0,866666667;
B0;0,000;0,000;0,159;0,053;0,018;1,857;3,286;4,143;;4,640;33;;;0,158730159;0,159;31;2;0,841269841;0,841269841;0,939393939;0,017777778;0,017777778;0,982222222;0,982222222;0,982222222;4,143;0,828571429;0,966666667;
B1;0,333;0,000;0,603;0,312;0,310;2,143;2,000;3,000;;4,640;33;;;0,68915217;0,937;27;6;0,31084783;0,31084783;0,818181818;0,251252369;0,309555556;0,748747631;0,690444444;0,690444444;3,000;0,6;0,7;
B2;0,000;0,333;0,159;0,164;0,072;1,714;3,714;3,286;;4,640;33;;;0,369196932;0,492;28;5;0,630803068;0,630803068;0,848484848;0,056851116;0,071777778;0,943148884;0,928222222;0,928222222;3,286;0,657142857;0,766666667;
B3;0,083;0,000;0,603;0,229;0,128;1,857;3,143;3,571;;4,640;33;;;0,608903971;0,687;28;5;0,391096029;0,391096029;0,848484848;0,090686289;0,128055556;0,909313711;0,871944444;0,871944444;3,571;0,714285714;0,833333333;
C0;0,000;0,000;0,333;0,111;0,037;2,143;3,143;3,714;;5,630;59;;;0,333333333;0,333;58;1;0,666666667;0,666666667;0,983050847;0,037333333;0,037333333;0,962666667;0,962666667;0,962666667;3,714;0,742857143;0,866666667;
C1;0,417;0,000;0,333;0,250;0,340;2,857;2,000;2,714;;5,630;59;;;0,533593686;0,750;55;4;0,466406314;0,466406314;0,93220339;0,304795059;0,339833333;0,695204941;0,660166667;0,660166667;2,714;0,542857143;0,633333333;
C2;0,000;0,357;0,333;0,230;0,095;2,143;3,000;4,000;;5,630;59;;;0,488530584;0,690;30;29;0,511469416;0,511469416;0,508474576;0,068856567;0,095190476;0,931143433;0,904809524;0,904809524;4,000;0,8;0,933333333;
C3;0,000;0,000;0,556;0,185;0,062;1,286;3,571;4,143;;5,630;59;;;0,555555556;0,556;56;3;0,444444444;0,444444444;0,949152542;0,062222222;0,062222222;0,937777778;0,937777778;0,937777778;4,143;0,828571429;0,966666667;
Avg.;0,142;0,085;0,333;0,187;0,155;1,940;3,000;3,619;;;;;;;;;;;;;;;;;;;;;
SD;0,207;0,137;0,181;0,104;0,155;;;;;;;;;;;;;;;;;;;;;;normed;normed ;
Weights;-2,097969592;-0,468717351;-0,324758928;;;;;;;;;;;;;;;;;;;;;;;;5;max;
Normalized_weights;0,725578027;0,162104833;0,112317139;;;;;;;;;;;;;;;;;;;;;;;;likert;;
;;;;;;;;;;;Model weights;Orientation;Order;Density;;;;;;;;;;;;;;;
;;;;;;;;;;;;0,726;0,162;0,112;;;Spearman rs;;sim_E - SIGMA;;;;;;;;;;